,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Effective Date: January 15, 2024",,,,,,,,,,,,,,
,CONFIDENTIAL PRICE LIST,,,,,         Case Dimensions                                               (Pallet Size 48 x 40),,,,Cartons Per Pallet ,MOQ/Multiples ,,,
Part #,Description,,Image , Literature  ,Case Pack,Weight,Length,Width,Height,Per Pallet ,MOQ,Origin,,
,,,,,,,,,,,,,,
LRWSTDESP,Standard Tall Wooden Luggage Rack; Espresso , $30.50 ,Image, Literature  ,4,26,27,11,30,18,4,China,,
,,,,,,,,,,,,,,
LRWMC04,Contoured Wooden Luggage Rack; Dark Mahogany , $32.50 ,Image, Literature  ,2,19,24,8,28,30,2,China,,
,,,,,,,,,,,,,,
CRZRE01,Composite Luggage Rack; Chestnut , $44.00 ,Image, Literature  ,2,24,27,8,31,18,2,China,,
,,,,,,,,,,,,,,
CRZRE04,Composite Luggage Rack; Black , $44.00 ,Image, Literature  ,2,24,27,8,31,18,2,China,,
,,,,,,,,,,,,,,
CRZRE02,Composite Luggage Rack; Harbor Grey , $44.00 ,Image , Literature  ,2,24,27,8,31,18,2,China ,,
,Bellman's Carts ,,,,,,,,,,,,,
RTBOARDWALK ,"Boardwalk Series Bellman's Cart; Gold - 8"" pneumatic wheels "," $1,145.00 ",Image, Literature  ,1,158,48,40,76,1,1,China,,
,,,,,,,,,,,,,,
RTBOARDWALK-2A,"Boardwalk Series Bellman's Cart; Stainless Steel - 8"" pneumatic wheels "," $1,145.00 ",Image, Literature  ,1,158,48,40,76,1,1,China,,
,,,,,,,,,,,,,,
ESSSBB-8,"Estate Series Bellman's Cart; Stainless Steel - 8"" pneumatic wheels ", $940.00 ,Image, Literature  ,1,158,48,40,76,1,1,China,,
,"""",,,,,,,,,,,,,
ESBSGG-8,"Estate Series Bellman's Cart; Brushed Stainless Steel - 8"" pneumatic wheels ", $940.00 ,Image, Literature  ,1,158,48,40,76,1,1,China,,
,"""",,,,,,,,,,,,,
CCRDBL01,"Coastal Series Estate Cart; Rubber Mat Deck- 8"" pneumatic wheels "," $1,070.00 ",Image, Literature  ,1,165,48,40,76,1,1,China,,
,,,,,,,,,,,,,,
TMIDTOWN,"Midtown Series Bellman's Cart; Grey/Black Carpet; 8"" pneumatic wheels ", $625.00 ,Image, Literature  ,1,90,3 cartons ,,,8,1,China,,
,,,,,,,,,,,,,,
BCF107SS,"Classic Bellman's Cart; Stainless Steel - 8"" semi-pneumatic wheels ", $485.00 ,Image, Literature  ,1,81,3 cartons ,,,10,1,China,,
,,,,,,,,,,,,,,
BCF107TG,"Contemporary Bellman's Cart; Titanium Gold - 8"" semi-pneumatic wheels ", $485.00 ,Image, Literature  ,1,82,3 cartons ,,,10,1,China,,
,,,,,,,,,,,,,,
BCF105SS,"Contemporary Bellman's Cart; Stainless Steel -8"" semi-pneumatic wheels ", $485.00 ,Image, Literature  ,1,82,3 cartons ,,,8,1,China,,
,,,,,,,,,,,,,,
BCF105BL,"Contemporary Bellman's Cart; Black - 8"" semi-pneumatic wheels ", $485.00 ,Image, Literature  ,1,82,3 cartons ,,,8,1,China ,,
,,,,,,,,,,,,,,
XDBCEC-6,"Transporter Bellman's Cart; Chrome  6"" pneumatic wheels ", $375.00 ,Image, Literature  ,1,82,3 cartons ,,,10,1,China,,
,,,,,,,,,,,,,,
XDBCSS-6,"Transporter Bellman's Cart; Stainless Steel - 6"" pneumatic wheels ", $465.00 ,Image, Literature  ,1,82,3 cartons ,,,10,1,China,,
,,,,,,,,,,,,,,
XDBCBP-6,"Transporter Bellman's Cart; Brass- 6"" pneumatic wheels ", $385.00 ,Image, Literature  ,1,82,3 cartons ,,,10,1,China,,
,,,,,,,,,,,,,,
XDBCPC01-6,"Transporter Bellman's Cart; Hammertone; 6"" pneumatic wheels ", $390.00 ,Image, Literature  ,1,82,3 cartons ,,,10,1,China ,,
,,,,,,,,,,,,,,
BCBSGG-5,"All-In-One Transporter Bellman's Cart; 5"" semi-pneumatic wheels ", $440.00 ,Image, Literature  ,1,69,63,28,8,5,1,China,,
,,,,,,,,,,,,,,
UCHSSGG-5,"Utility Cart; Stainless Steel; Grey/Grey Deck; 5"" semi-pneumatic wheels ", $325.00 ,Image, Literature  ,1,56,45,27,9,5,1,China,,
,,,,,,,,,,,,,,
UCCRD5RR,"Utility Cart; Coastal Finish; Black rubber mat deck; 5"" wheels ", $375.00 ,Image, Literature  ,1,58,52,28,10,5,1,China,,
,,,,,,,,,,,,,,
CLCC-3,Coastal Compact Luggage Carrier; Coastal Finish; Rubber Mat Deck, $475.00 ,Image,Literature ,1,40,24,9,33,10,1,China,,
,,,,,,,,,,,,,,
CLCSSGG-3,Compact Luggage Carrier; Stainless Steel; Grey/Grey Carpet , $385.00 ,Image, Literature  ,1,40,24,9,33,10,1,China,,
,,,,,,,,,,,,,,
NCLCBS,Nestable Compact Luggage Carrier; Brushed Stainless Steel , $385.00 ,Image, Literature  ,1,40,24,9,33,10,1,China,,
,,,,,,,,,,,,,,
XDXP01,Xduty Xpress Cart; Hammertone Finish; Black Bag included , $170.00 ,Image, Literature  ,1,18,27,20,5,12,1,China,,
,,,,,,,,,,,,,,
XDXP01-DLX,Deluxe Xduty Express Cart; Hammerton Finish; Bags Included , $220.00 ,Image, Literature  ,1,27,35,21,8,12,1,China,,
,,,,,,,,,,,,,,
BCWHP6,"6"" Fully Pneumatic Wheels; Set of 4; 2 Rigid/2 Swivel ", $185.00 ,Image, Literature  ,1,20,14,8,9,10,1,China,,
,,,,,,,,,,,,,,
BCWHP8,"8"" Fully Pneumatic Wheels; Set of 4; 2 Rigid/2 Swivel ", $205.00 ,Image, Literature  ,1,28,19,11,9,10,1,China,,
,,,,,,,,,,,,,,
BCWHP8BL,"8"" Fully Pneumatic Wheels; Set of 4; 2 Rigid/2 Swivel ", $205.00 ,Image, Literature  ,1,28,19,11,9,10,1,China,,
,,,,,,,,,,,,,,
NP4G8,"8"" Semi-pneumatic Wheels; Set of 4; 2 Rigid/2 Swivel ", $205.00 ,Image, Literature  ,1,28,19,11,9,10,1,China,,
,,,,,,,,,,,,,,
NP4GBR-8,"8"" Semi-pneumatic Wheels with Brakes; Set of 4: 2 Rigid/2 Swivel", $220.00 ,Image, Literature  ,1,27,19,12,10,10,1,China,,
,,,,,,,,,,,,,,
BCBG-EST,Bellman's Cart Bumper Guard Large , $85.00 ,Image , Literature  ,15,17,18,13,18,16,1,China ,,
,,,,,,,,,,,,,,
BCBG-STD,Bellman's Cart Bumper Guard Small , $80.00 ,Image , Literature  ,10,22,24,12,18,12,1,China ,,
,Caddy Bags ,,,,,,,,,,,,,
CB2BR," 2 Pocket Caddy Bag   12"" x 35""; Brown", $9.00 ,Image,Literature ,24,26,18,14,10,30,6,China,,
,,,,,,,,,,,,,,
CB6BR,"6 Pocket Caddy Bag 19"" x 32"";  Brown ", $9.50 ,Image,Literature ,24,32,20,12,11,30,6,China,,
,,,,,,,,,,,,,,
CB6BLK,"6 Pocket Caddy Bag 19"" x 32""; Black ", $9.50 ,Image, Literature  ,24,32,20,12,11,30,6,China,,
,,,,,,,,,,,,,,
CB9BR,"9 Pocket Caddy Bag 19"" x 32""; Brown ", $10.00 ,Image, Literature  ,24,35,20,12,12,30,6,China,,
,,,,,,,,,,,,,,
CB9BLK,"9 Pocket Caddy Bag 19"" x 32""; Black ", $10.00 ,Image, Literature  ,24,35,20,12,11,30,6,China,,
,,,,,,,,,,,,,,
CB12BR,"12 Pocket Caddy Bag   21"" x 32""; Brown", $10.75 ,Image, Literature  ,24,37,20,12,11,30,6,China,,
,,,,,,,,,,,,,,
CB12BLK,"12 Pocket Caddy Bag   21"" x 32""; Black", $10.75 ,Image, Literature  ,24,37,20,12,11,30,6,China,,
,,,,,,,,,,,,,,
,Cart Bags ,,,,,,,,,,,,,
HCBLS30BR,"18"" x 30"" Loop and Snap Cart Bag; Brown ", $11.75 ,Image, Literature  ,20,42,21,13,14,30,6,China,,
,,,,,,,,,,,,,,
HCBLS36BR,"18"" x 36"" Loop and Snap Cart Bag; Brown ", $12.00 ,Image, Literature  ,20,47,22,14,13,30,6,China,,
,,,,,,,,,,,,,,
HCBFO30BR,"18"" x 30"" Fold Over Cart Bag; Brown ", $11.75 ,Image, Literature  ,20,42,21,13,14,30,6,China,,
,,,,,,,,,,,,,,
HCBFO36BR,"18"" x 36"" Fold Over Cart Bag; Brown ", $12.00 ,Image, Literature  ,20,47,21,13,14,30,6,China,,
,,,,,,,,,,,,,,
RHCBG33BR,"17"" x 33"" Rubbermaid Cart Bag; Brown ", $12.70 ,Image, Literature  ,20,40,21,17,11,30,6,China,,
,,,,,,,,,,,,,,
RHCBG36BR,"17"" x 36"" Rubbermaid Cart Bag; Brown ", $13.70 ,Image, Literature  ,20,40,22,14,11,30,6,China,,
,,,,,,,,,,,,,,
PVCLB,"18"" x 33"" PVC Laundry Bag with Zipper; Black ", $24.25 ,Image, Literature  ,12,30,18,13,13,30,6,China,,
,Amenity Items,,,,,,,,,,,,,
1422BM-WH,"22"" x 14"" Rubber Bath Mat; White ", $4.95 ,Image, Literature  ,24,31,11,16,15,20,24,China,,
,,,,,,,,,,,,,,
1422BM-EC,"22"" x 14"" Rubber Bath Mat; Ecru", $4.95 ,Image, Literature  ,24,31,11,16,15,20,24,China,,
,,,,,,,,,,,,,,
1628BM-WH,"28"" x 16"" Rubber Bath Mat; White ", $5.75 ,Image, Literature  ,24,41,11,17,17,20,24,China,,
,,,,,,,,,,,,,,
1628BM-EC,"28"" x 16"" Rubber Bath Mat; Ecru", $5.75 ,Image, Literature  ,24,41,11,17,14,20,24,China,,
,,,,,,,,,,,,,,
HDBAG,Hair Dryer Bag; Black with Red Embroidery, $3.45 ,Image, Literature  ,100,16,14,14,9,30,10,China,,
,,,,,,,,,,,,,,
HDBAG-WH,Hair Dryer Bag; White with Navy Blue Embroidery , $3.45 ,Image, Literature  ,100,16,14,14,9,30,10,China,,
,,,,,,,,,,,,,,
HDBAG-GR00,Blank Hair Dryer Bag; Blank , $3.45 ,Image, Literature  ,100,16,14,14,9,30,10,China,,
,,,,,,,,,,,,,,
FRHDBAGWEM,Fire Retardant Hair Dryer Bag; Black With White Embroidery , $3.45 ,Image, Literature  ,100,16,14,14,9,30,10,China,,
BTBAG,,,,,,,,,,,,,,
BTBAG,Bath Tissue Bag; Black With Red Embroidery , $3.25 ,Image, Literature  ,100,16,14,14,9,30,10,China,,
,,,,,,,,,,,,,,
BTBAG-WH,Bath Tissue Bag; Black With White Embroidery , $3.25 ,Image, Literature  ,100,16,14,14,9,30,10,China,,
,,,,,,,,,,,,,,
BLKTBOX,Blanket Box/ Clear Window; Ivory , $8.25 ,Image, Literature  ,20,28,25,16,12,30,20,China,,
,,,,,,,,,,,,,,
BLKTBOXBL,Blanket Box/ Clear Window; Black , $8.25 ,Image, Literature  ,20,28,25,16,12,30,20,China,,
,,,,,,,,,,,,,,
TRCFB,Coffee Tray; Available in Black, $5.50 ,Image, Literature  ,24,27,26,16,13,16,6,China,,
,,,,,,,,,,,,,,
WWFNI,Wooden Wet Floor Sign Bilingual; Walnut With Nickel Plating, $60.50 ,Image, Literature  ,2,18,25,14,4,50,2,China,,
BTBAG,,,,,,,,,,,,,,
WWFBR,Wooden Wet Floor Sign Bilingual; Walnut With Brass Plating , $60.50 ,Image, Literature  ,2,18,25,14,4,50,2,China,,
,,,,,,,,,,,,,,
BLWFNI,Wooden Wet Floor Sign Bilingual; Black with Nickel Plating , $60.50 ,Image, Literature  ,2,18,25,14,4,50,2,China,,
,,,,,,,,,,,,,,
LHBAG,Replacement Laundry Hamper Bag; Black , $10.95 ,Image, Literature  ,24,25,21,15,11,20,6,China,,
,,,,,,,,,,,,,,
DSHBXX,Door Stop Bag; Black , $6.25 ,Image, Literature  ,5,29,12,8,8,48,5,China,,
,,,,,,,,,,,,,,
LHSTD01,Laundry Hamper; Hammertone With Black Bag , $63.50 ,Image, Literature  ,1,17,40,29,5,11,1,China,,
BTBAG,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Ironing Boards ,,,,,,,,,,,,,
PV0210XD,"54"" Classic Ironing Board; White With Silver Cover", $23.20 ,Image ,Literature ,4,42,17,10,56,13,4,Turkey ,,
,,,,,,,,,,,,,,
PV0211XD,"54"" Classic Ironing Board; Classic Ironing Board; Khaki Cover ", $23.20 ,Image ,Literature ,4,42,17,10,56,13,4,Turkey ,,
,,,,,,,,,,,,,,
PV8258XD,"54"" Presstige Ironing Board; White with Toast Cover ", $26.50 ,Image,Literature ,4,51,18,12,56,9,4,Turkey ,,
,,,,,,,,,,,,,,
PV122101,"30"" Table Top Ironing Board; White with Blue Cover ", $9.25 ,Image,Literature ,6,20,7,13,30,21,6,Turkey ,,
,,,,,,,,,,,,,,
PV122150,"30"" Table Top Ironing Board; Black with Charcoal Cover ", $9.25 ,Image,Literature ,6,20,7,13,30,21,6,Turkey ,,
,,,,,,,,,,,,,,
PV1310XD,"40"" Compact Ironing Board; Black with Charcoal Cover ", $21.95 ,Image,Literature ,4,35,15,8,49,15,4,Turkey ,,
,,,,,,,,,,,,,,
PV1311XD,"40"" Compact Ironing Board; White with Toast Cover ", $21.95 ,Image,Literature ,4,35,15,8,49,15,4,Turkey ,,
,,,,,,,,,,,,,,
PV1312XD,"40"" Compact Ironing Board; White with Blue Cover ", $21.95 ,Image,Literature ,4,35,15,8,49,15,4,Turkey ,,
,,,,,,,,,,,,,,
HAN001,"Ironing Board Hanger, White ", $2.20 ,Image,Literature ,144,23,13,14,5,45,12,China ,,
,,,,,,,,,,,,,,
HAN003,"Ironing Board Hanger, Black ", $2.20 ,Image,Literature ,144,23,13,14,5,45,12,China,,
,,,,,,,,,,,,,,
IO001,Iron Organizer; White , $10.50 ,Image,Literature ,24,40,27,16,14,12,24,China,,
,,,,,,,,,,,,,,
IO003,Iron Organizer; Black , $10.50 ,Image,Literature ,24,40,27,16,14,12,24,China,,
,,,,,,,,,,,,,,
IC002,Iron Connection; White , $19.95 ,Image,Literature ,24,42,27,16,14,12,24,China,,
,,,,,,,,,,,,,,
,Ironing Board Covers ,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PV00311,"54"" x 13"" Replacement Bungee Ironing Board Cover; Silver ", $5.75 ,Image,Literature ,12,10,20,16,10,42,12,China,,
,,,,,,,,,,,,,,
PV00205,"54"" x 13"" Replacement Drawstring Ironing Board Cover; Silver ", $5.65 ,Image,Literature ,12,10,20,16,10,42,12,China,,
,,,,,,,,,,,,,,
PVIC408,"54"" x 13"" Replacement Bungee Ironing Board Cover for Iron Connection; Toast ", $6.50 ,Image,Literature ,12,9,18,15,10,42,12,China,,
,,,,,,,,,,,,,,
PV00411,"45"" x 13"" Replacement Bungee Ironing Board Cover; Toast", $6.70 ,Image,Literature ,12,10,18,15,10,42,12,China,,
,,,,,,,,,,,,,,
PV00412,"45"" x 13"" Replacement Bungee Ironing Board Cover; Blue", $6.70 ,Image,Literature ,12,10,18,15,10,42,12,China,,
,,,,,,,,,,,,,,
PV9200,"40"" x 13"" Replacement Bungee Ironing Board Cover; Charcoal ", $5.35 ,Image,Literature ,12,9,18,15,10,42,12,China,,
,,,,,,,,,,,,,,
PV9201,"40"" x 13"" Replacement Bungee Ironing Board Cover; Khaki ", $5.35 ,Image,Literature ,12,9,18,15,10,42,12,China,,
,,,,,,,,,,,,,,
PV9202,"40"" x 13"" Replacement Bungee Ironing Board Cover; Blue ", $5.35 ,Image,Literature ,12,9,18,15,10,42,12,China,,
,,,,,,,,,,,,,,
PV1209,"30"" Ironing Board Replacement Bungee Ironing Board Cover; Blue ", $4.60 ,Image,Literature ,12,10,20,16,10,42,12,China,,
,,,,,,,,,,,,,,
PV1210,"30"" Ironing Board Replacement Bungee Ironing Board Cover; Charcoal ", $4.60 ,Image,Literature ,12,10,20,16,10,42,12,China,,
,,,,,,,,,,,,,,
,Amenity Items,,,,,,,,,,,,,
,,,,,,,,,,,,,,
RPVDCMTL,Deluxe Coffee Tray; Black Faux Leather , $22.50 ,Image,Literature ,12,47,32,6,30,12,12,China,,
,,,,,,,,,,,,,,
PVCW001,Cord Wrap, $12.20 ,Image,Literature ,24,N/A,N/A,N/A,N/A,N/A,24,China,,
,,,,,,,,,,,,,,
PVDS02,"Hinge Buddy Door Stop, Red ", $3.00 ,Image,Literature ,25,4,8,6,4,N/A,25,China,,
,,,,,,,,,,,,,,
PVCL001,Cord Lock Security Clip , $12.20 ,Image,Literature ,24,N/A,N/A,N/A,N/A,N/A,24,China,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
**Contact Number - 615.724.0220**,,,,,,,,,,,,,,
Customer Service -isaac@hospitality1.com,,,,,,,,,,,,,,
Customer Service Manager - joanne@hospitality1.com,,,,,,,,,,,,,,
Inside Sales Rep - sharae@hospitality1.com,,,,,,,,,,,,,,
Marketing - isabel@hospitality1.com,,,,,,,,,,,,,,
