sku_norm,sku_raw,bc_type,bc_product_id,bc_variant_id,case_qty,sku_unit_cost,ahs_unit_sales,ahs_case_sales,margin_case_price,target_vs_bc_pct,price_source,sale_price_status,sale_price_min_allowed,bc_price_old,bc_sale_price_old,bc_cost_old,new_price,new_bc_price,new_cost_price
KA255,KA255,variant,110198,59234,1,2.2,3.19,3.19,3.26,-69.36,margin_case_price_to_bc_price,not_requested,,10.64,0,7.6,3.19,3.26,2.2
KA3000,KA3000,product,110196,,1,1.8,2.61,2.61,2.66,-33.17,margin_case_price_to_bc_price,not_requested,,3.98,0,22,2.61,2.66,1.8
KA412R,KA412R,variant,110201,59237,1,10.8,15.66,15.66,15.98,-90.48,margin_case_price_to_bc_price,not_requested,,167.88,0,0,15.66,15.98,10.8
KA5000,KA5000,product,110195,,1,1.8,2.61,2.61,2.66,-91.2,margin_case_price_to_bc_price,not_requested,,30.24,0,21.6,2.61,2.66,1.8
KA711,KA711,variant,110193,59228,1,1.55,2.25,2.25,2.29,-91.21,margin_case_price_to_bc_price,not_requested,,26.04,0,18.6,2.25,2.29,1.55
KA9100,KA9100,variant,110194,59229,1,1.8,2.61,2.61,2.66,-91.2,margin_case_price_to_bc_price,not_requested,,30.24,0,21.6,2.61,2.66,1.8
KASS151,KASS151,variant,110199,59235,1,8,11.6,11.6,11.84,5.71,margin_case_price_to_bc_price,not_requested,,11.2,0,8,11.6,11.84,8
KASS256,KASS256,variant,110200,59236,1,8.8,12.76,12.76,13.02,5.68,margin_case_price_to_bc_price,not_requested,,12.32,0,8.8,12.76,13.02,8.8
QIMPDDK,QIMPDDK,variant,112466,105043,6,43.75,63.44,380.64,388.5,0,margin_case_price_to_bc_price,not_requested,,388.5,380.64,262.5,380.64,388.5,262.5
QIMPDDQ,QIMPDDQ,variant,112466,105042,8,39.4,57.13,457.04,466.5,0,margin_case_price_to_bc_price,not_requested,,466.5,457.04,315.2,457.04,466.5,315.2
QIMPDDT,QIMPDDT,variant,112466,105041,10,33.4,48.43,484.3,494.32,0,margin_case_price_to_bc_price,not_requested,,494.32,484.3,334,484.3,494.32,334
SL2940M,SL2940M,variant,110191,96257,25,3.45,3.99,99.75,127.65,0,margin_case_price_to_bc_price,not_requested,,127.65,,86.25,99.75,127.65,86.25
SL2940W,SL2940W,variant,110191,96256,25,2.75,3.99,99.75,101.75,0,margin_case_price_to_bc_price,not_requested,,101.75,99.75,68.75,99.75,101.75,68.75
SL2941,SL2941,product,110191,,25,1.95,2.83,70.75,72.15,0,margin_case_price_to_bc_price,not_requested,,72.15,70.75,48.75,70.75,72.15,48.75
SL2941-1-CT,SL2941-1-CT,variant,110191,96255,25,2,2.9,72.5,74,0,margin_case_price_to_bc_price,not_requested,,74,72.5,50,72.5,74,50
SV3C5MB-1,SV3C5MB-1,variant,110191,96258,100,2.15,3.12,312,318.2,0,margin_case_price_to_bc_price,not_requested,,318.2,312,215,312,318.2,215
